timeStamp,jointName,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w
0.1263797,Body_Start,-0.0219874,-1.117924,-0.5511562,0,-0.02234492,0,0.9997503
0.1263797,Body_Hips,-0.0219874,-0.2403234,-0.5511562,0.5027252,-0.4699824,-0.5491788,0.4741167
0.1263797,Body_SpineLower,-0.02260257,-0.2182842,-0.5792897,0.4914297,-0.48226,-0.5262139,0.4990202
0.1263797,Body_SpineMiddle,-0.01992241,-0.1163681,-0.5612408,0.4805697,-0.4959438,-0.5030767,0.5196213
0.1263797,Hand_Thumb2,-0.02104759,-0.01413015,-0.5846188,0.4929172,-0.4990008,-0.4899241,0.5176922
0.1263797,Body_Chest,-0.02455801,0.1577669,-0.5739247,0.497893,-0.4992565,-0.4854015,0.5169439
0.1263797,Body_Neck,-0.02766232,0.2702655,-0.5244209,0.5925856,-0.3865215,-0.6074046,0.3612523
0.1263797,Hand_Index2,-0.02524308,0.3294267,-0.4953586,0.5169542,-0.4830267,-0.5359135,0.4606954
0.1263797,Hand_Index3,-0.05192419,0.2096686,-0.4794485,0.7218797,-0.0361349,0.1190115,0.6807498
0.1263797,Hand_Middle1,-0.1991349,0.2289108,-0.5320956,0.6882634,0.1115948,0.08363643,0.7119306
0.1263797,FullBody_LeftArmUpper,-0.2037527,0.1984709,-0.5298055,0.3183439,0.7465021,0.2514268,0.5274242
0.1263797,XRHand_MiddleMetacarpal,-0.1483554,0.02766737,-0.3856528,-0.2565536,0.7699276,-0.1614165,0.5615484
0.1263797,Hand_Ring1,-0.1004378,0.1448805,-0.221436,-0.5179941,0.7169427,0.3919133,0.2531389
0.1263797,Hand_Ring2,0.000710303,0.2112486,-0.4797482,0.6892538,-0.0975066,-0.05477588,-0.7158362
0.1263797,XRHand_MiddleDistal,0.1468167,0.2383429,-0.5320207,0.7188509,-0.06489272,0.0995845,-0.6849273
0.1263797,XRHand_MiddleTip,0.1527387,0.2081685,-0.5291976,0.4971561,-0.2468334,0.7563324,-0.3462231
0.1263797,Hand_Pinky1,0.09162444,0.0307872,-0.3956982,0.5318695,0.1587635,0.7891582,0.2629417
0.1263797,Body_RightHandWristTwist,0.03148936,0.1496001,-0.2367354,0.1213447,-0.5416819,0.6345379,0.5377898
0.1263797,FullBody_LeftHandPalm,-0.1019755,0.1826596,-0.1692186,-0.05601438,0.6892784,-0.3047071,0.6549133
0.1263797,XRHand_RingDistal,-0.1068555,0.1633745,-0.2019219,-0.05601438,0.6892784,-0.3047071,0.6549133
0.1263797,Body_LeftHandThumbMetacarpal,-0.1215554,0.2060057,-0.1813812,0.3493979,0.156659,-0.5732924,0.7243721
0.1263797,Hand_MiddleTip,-0.1311007,0.2294501,-0.1609769,0.3153596,0.2701962,-0.573855,0.7058561
0.1263797,FullBody_LeftHandThumbDistal,-0.1377027,0.2510675,-0.1358557,0.2434936,0.2938134,-0.7965266,0.468967
0.1263797,Body_LeftHandThumbTip,-0.1410037,0.2618762,-0.1232951,0.2434936,0.2938134,-0.7965266,0.468967
0.1263797,Body_LeftHandIndexMetacarpal,-0.1155384,0.1966507,-0.1759001,-0.05601438,0.6892784,-0.3047071,0.6549133
