timeStamp,jointName,position.x,position.y,position.z,rotation.x,rotation.y,rotation.z,rotation.w
0.4616713,Body_Start,-0.01605871,-1.185904,-0.4356892,0,-0.02618528,0,0.9996571
0.4616713,Body_Hips,-0.01605871,-0.2352984,-0.4356892,0.3902002,-0.5766417,-0.4084407,0.5902578
0.4616713,Body_SpineLower,-0.0171718,-0.2279582,-0.4747264,0.4013416,-0.5672815,-0.4185765,0.5847309
0.4616713,Body_SpineMiddle,-0.01730555,-0.1150163,-0.4969337,0.4616193,-0.5121314,-0.4878548,0.5353752
0.4616713,Hand_Thumb2,-0.01835009,-0.003321707,-0.5303857,0.4756683,-0.503728,-0.4993226,0.5202642
0.4616713,Body_Chest,-0.01644238,0.1879727,-0.5214654,0.4797889,-0.5098527,-0.4960231,0.5136283
0.4616713,Body_Neck,-0.01376633,0.3138739,-0.4683201,0.5670826,-0.3847323,-0.6118701,0.3949852
0.4616713,Hand_Index2,-0.01048069,0.3813141,-0.4397198,0.5752967,-0.3723378,-0.620296,0.3816166
0.4616713,Hand_Index3,-0.04287872,0.2484736,-0.4169312,0.7084888,-0.0936662,0.200864,0.6700178
0.4616713,Hand_Middle1,-0.1921552,0.2655287,-0.5068919,0.6814776,0.03174254,0.1437834,0.7168731
0.4616713,FullBody_LeftArmUpper,-0.1984495,0.2318046,-0.5058376,0.5419101,0.6233912,0.3070826,0.4726705
0.4616713,XRHand_MiddleMetacarpal,-0.2075096,-0.01928973,-0.4396226,-0.2260116,0.794482,-0.2280871,0.5154545
0.4616713,Hand_Ring1,-0.1233612,0.117886,-0.269223,-0.4760554,0.7530497,0.4019317,0.2115144
0.4616713,Hand_Ring2,0.01564746,0.2477118,-0.4180847,0.6708137,-0.2261314,-0.1102139,-0.6976579
0.4616713,XRHand_MiddleDistal,0.1591665,0.2622951,-0.5173706,0.721006,-0.1710107,0.01357749,-0.6713579
0.4616713,XRHand_MiddleTip,0.1650662,0.2284941,-0.5162752,0.4986235,-0.2655523,0.6359996,-0.5257007
0.4616713,Hand_Pinky1,0.178244,-0.01420856,-0.4244356,0.5014471,0.2601812,0.7936298,0.2258504
0.4616713,Body_RightHandWristTwist,0.08744614,0.1290867,-0.2627073,0.1079356,-0.5217488,0.6853527,0.4964068
0.4616713,FullBody_LeftHandPalm,-0.1167139,0.1766779,-0.2161868,-0.06237823,0.7211079,-0.3234354,0.6095095
0.4616713,XRHand_RingDistal,-0.1253344,0.1583386,-0.2457362,-0.06237823,0.7211079,-0.3234354,0.6095095
0.4616713,Body_LeftHandThumbMetacarpal,-0.1355189,0.1989726,-0.2259969,0.2990324,0.1641771,-0.6107776,0.7145462
0.4616713,Hand_MiddleTip,-0.1416054,0.2225485,-0.2077395,0.2178583,0.3162648,-0.74006,0.5521101
0.4616713,FullBody_LeftHandThumbDistal,-0.1322604,0.2440388,-0.1864929,0.2282956,0.208594,-0.7528343,0.5810425
0.4616713,Body_LeftHandThumbTip,-0.1275879,0.254784,-0.1758696,0.2282956,0.208594,-0.7528343,0.5810425
0.4616713,Body_LeftHandIndexMetacarpal,-0.1295846,0.1901518,-0.2213265,-0.06237823,0.7211079,-0.3234354,0.6095095
0.4616713,XRHand_LittleTip,-0.1211243,0.2158197,-0.173036,-0.08221047,0.7308804,-0.3918503,0.5527284
0.4616713,Body_LeftHandIndexIntermediate,-0.1077947,0.2354643,-0.1466394,-0.166419,0.7318048,-0.4254394,0.5057349
0.4616713,FullBody_LeftHandIndexDistal,-0.09794262,0.2507946,-0.1330215,-0.1675203,0.7506958,-0.4201775,0.4815016
0.4616713,FullBody_LeftHandIndexTip,-0.09301659,0.2584599,-0.1262126,-0.1675203,0.7506958,-0.4201775,0.4815016
0.4616713,FullBody_LeftHandMiddleMetacarpal,-0.1115293,0.1962416,-0.19869,-0.06237823,0.7211079,-0.3234354,0.6095095
0.4616713,Body_LeftHandMiddleProximal,-0.1037832,0.2041868,-0.1718625,-0.1674325,0.7469944,-0.4107162,0.4952553
0.4616713,FullBody_LeftHandMiddleIntermediate,-0.08556587,0.2305845,-0.1476581,-0.2330843,0.7370265,-0.4420728,0.4550113
0.4616713,Body_LeftHandMiddleDistal,-0.0732582,0.2498189,-0.1356762,-0.2446676,0.7578971,-0.4059987,0.448213
0.4616713,Body_LeftHandMiddleTip,-0.06710437,0.259436,-0.1296853,-0.2446676,0.7578971,-0.4059987,0.448213
0.4616713,FullBody_LeftHandRingMetacarpal,-0.1026061,0.1730313,-0.2221608,-0.06237823,0.7211079,-0.3234354,0.6095095
0.4616713,FullBody_LeftHandRingProximal,-0.08775395,0.1969432,-0.1802032,-0.1981241,0.7588919,-0.3806252,0.4898514
0.4616713,FullBody_LeftHandRingIntermediate,-0.07163517,0.2215314,-0.1585696,-0.3145981,0.7388894,-0.4135253,0.4290307
0.4616713,FullBody_LeftHandRingDistal,-0.06084185,0.2419215,-0.1492712,-0.3765317,0.7074109,-0.4249694,0.4209452
0.4616713,Body_LeftHandRingTip,-0.05544519,0.2521166,-0.1446219,-0.3765317,0.7074109,-0.4249694,0.4209452
0.4616713,FullBody_LeftHandLittleMetacarpal,-0.09491009,0.1722821,-0.2247986,-0.1543881,0.8494233,-0.1837192,0.4699911
0.4616713,Body_LeftHandLittleProximal,-0.07309569,0.19087,-0.1931037,-0.246449,0.7800187,-0.3250565,0.4745228
0.4616713,FullBody_LeftHandLittleIntermediate,-0.060783,0.2107967,-0.1764237,-0.3712759,0.7672638,-0.3599242,0.3793615
0.4616713,FullBody_LeftHandLittleDistal,-0.05248444,0.2268206,-0.1704372,-0.435885,0.7223912,-0.3652803,0.3933519
