eyePosition,direction,boardPosition,relativeBoardPosition,timeStamp,object
(-0.02, 0.00, 0.00),(0.02, -0.82, 0.57),(-40.38, 1.30, 0.00),(0.48, 0.50),9.112208,Background_EyeArea
(-0.02, 0.00, 0.00),(0.01, -0.82, 0.58),(-41.50, 3.45, 0.00),(0.48, 0.50),9.284506,Background_EyeArea
(-0.02, 0.00, 0.00),(0.01, -0.82, 0.57),(-39.20, -10.00, 0.00),(0.48, 0.49),9.314296,Background_EyeArea
(-0.02, 0.00, 0.00),(0.00, -0.82, 0.57),(-44.96, -13.11, 0.00),(0.48, 0.49),9.324613,Background_EyeArea
(-0.02, 0.00, -0.01),(0.01, -0.82, 0.57),(-43.44, -14.31, 0.00),(0.48, 0.49),9.346427,Background_EyeArea
(-0.02, 0.00, 0.00),(0.00, -0.82, 0.57),(-47.30, -12.65, 0.00),(0.48, 0.49),9.378276,Background_EyeArea
(-0.02, 0.00, 0.00),(0.00, -0.82, 0.57),(-43.24, -12.69, 0.00),(0.48, 0.49),9.410033,Background_EyeArea
(-0.01, 0.00, -0.01),(0.01, -0.82, 0.57),(-32.69, -17.36, 0.00),(0.48, 0.48),9.416314,Background_EyeArea
(-0.01, 0.00, -0.01),(0.01, -0.82, 0.57),(-30.05, -20.43, 0.00),(0.48, 0.48),9.429063,Background_EyeArea
(-0.01, 0.03, -0.03),(0.01, -0.82, 0.57),(-29.72, -20.15, 0.00),(0.48, 0.48),9.443468,Card_CityCard
(-0.01, 0.04, -0.03),(0.01, -0.82, 0.57),(-29.21, -13.46, 0.00),(0.48, 0.49),9.462274,Card_CityCard
(-0.01, 0.04, -0.03),(0.01, -0.82, 0.57),(-29.05, -14.88, 0.00),(0.48, 0.49),9.475235,Card_CityCard
(-0.01, 0.05, -0.04),(0.01, -0.82, 0.57),(-28.75, -17.78, 0.00),(0.49, 0.48),9.484203,Card_CityCard
(-0.01, 0.05, -0.04),(0.01, -0.82, 0.57),(-29.12, -22.28, 0.00),(0.48, 0.48),9.497987,Card_CityCard
(-0.01, 0.05, -0.05),(0.01, -0.83, 0.56),(-28.53, -28.33, 0.00),(0.49, 0.47),9.51489,Card_CityCard
(-0.01, 0.05, -0.05),(0.01, -0.83, 0.56),(-33.18, -36.65, 0.00),(0.48, 0.47),9.526033,Card_CityCard
(-0.01, 0.05, -0.05),(0.01, -0.83, 0.56),(-33.32, -38.41, 0.00),(0.48, 0.46),9.540355,Card_CityCard
(-0.02, 0.05, -0.05),(0.00, -0.82, 0.57),(-43.33, -27.36, 0.00),(0.48, 0.47),9.554373,Card_CityCard
(-0.02, 0.05, -0.05),(0.00, -0.83, 0.56),(-43.56, -28.79, 0.00),(0.48, 0.47),9.568127,Card_CityCard
(-0.02, 0.05, -0.04),(0.00, -0.82, 0.57),(-45.62, -25.92, 0.00),(0.48, 0.48),9.582083,Card_CityCard
(-0.02, 0.05, -0.04),(0.00, -0.82, 0.57),(-47.78, -23.29, 0.00),(0.48, 0.48),9.596812,Card_CityCard
(-0.02, 0.05, -0.04),(-0.01, -0.82, 0.57),(-49.89, -21.03, 0.00),(0.47, 0.48),9.616471,Card_CityCard
(-0.02, 0.03, -0.03),(-0.01, -0.82, 0.57),(-52.49, -19.44, 0.00),(0.47, 0.48),9.627954,Card_CityCard
(-0.02, 0.03, -0.03),(-0.01, -0.82, 0.57),(-56.31, -11.25, 0.00),(0.47, 0.49),9.636321,Card_CityCard
(-0.02, 0.00, 0.00),(-0.01, -0.82, 0.57),(-59.62, -12.07, 0.00),(0.47, 0.49),9.64973,Background_EyeArea
(-0.03, 0.00, 0.00),(-0.02, -0.82, 0.57),(-62.52, -12.65, 0.00),(0.47, 0.49),9.664038,Background_EyeArea
(-0.03, 0.00, -0.01),(-0.02, -0.82, 0.57),(-64.94, -15.32, 0.00),(0.47, 0.49),9.678074,Background_EyeArea
(-0.03, 0.00, -0.01),(-0.02, -0.82, 0.57),(-66.78, -18.29, 0.00),(0.47, 0.48),9.691751,Background_EyeArea
(-0.03, 0.00, -0.01),(-0.02, -0.82, 0.57),(-69.30, -21.42, 0.00),(0.46, 0.48),9.706285,Background_EyeArea
(-0.03, 0.00, -0.01),(-0.02, -0.82, 0.57),(-72.22, -25.80, 0.00),(0.46, 0.48),9.746346,Background_EyeArea
(-0.03, 0.00, -0.01),(-0.03, -0.83, 0.56),(-77.77, -35.02, 0.00),(0.46, 0.47),9.763479,Background_EyeArea
(-0.03, 0.00, -0.01),(-0.03, -0.83, 0.56),(-79.01, -35.10, 0.00),(0.46, 0.47),9.780406,Background_EyeArea
(-0.03, 0.00, -0.01),(-0.03, -0.83, 0.56),(-79.43, -35.10, 0.00),(0.46, 0.47),9.793228,Background_EyeArea
(-0.02, 0.00, -0.04),(-0.01, -0.85, 0.52),(-57.67, -98.08, 0.00),(0.47, 0.41),9.80218,City_Warsaw
