eyePosition,direction,boardPosition,relativeBoardPosition,timeStamp,object
(-0.03, 0.00, 0.01),(0.13, -0.77, 0.63),(-65.35, 36.31, 0.00),(0.47, 0.53),0,[Board]
(-0.01, 0.00, 0.00),(0.11, -0.80, 0.59),(-28.36, -5.29, 0.00),(0.49, 0.50),0.333333,[Board]
(-0.02, 0.00, 0.01),(0.10, -0.79, 0.60),(-44.29, 17.27, 0.00),(0.48, 0.52),0.4274006,[Board]
(-0.02, 0.00, -0.06),(0.11, -0.86, 0.50),(-42.97, -141.67, 0.00),(0.48, 0.37),0.4661713,[Board]
(-0.02, 0.00, -0.02),(0.10, -0.82, 0.57),(-54.08, -48.18, 0.00),(0.47, 0.46),0.5549812,[Board]
(-0.04, 0.00, 0.02),(0.05, -0.78, 0.62),(-108.98, 48.12, 0.00),(0.44, 0.54),0.6977959,[Board]
(-0.05, 0.05, -0.02),(0.05, -0.78, 0.62),(-106.61, 56.28, 0.00),(0.44, 0.55),0.7218418,[CityCard] Athens Yellow
(-0.05, 0.05, -0.03),(0.05, -0.80, 0.60),(-107.55, 20.36, 0.00),(0.44, 0.52),0.8096466,[CityCard] Athens Yellow
(-0.05, 0.05, -0.04),(0.05, -0.81, 0.59),(-112.11, -7.04, 0.00),(0.44, 0.49),0.8936481,[CityCard] Athens Yellow
(-0.04, 0.00, -0.01),(0.06, -0.82, 0.57),(-96.45, -32.77, 0.00),(0.45, 0.47),0.9426794,[Board]
(-0.03, 0.00, -0.05),(0.09, -0.86, 0.51),(-71.49, -120.62, 0.00),(0.46, 0.39),1.124519,[Board]
(-0.03, 0.00, -0.05),(0.09, -0.86, 0.50),(-68.36, -134.13, 0.00),(0.46, 0.38),1.154095,[Board]
(-0.02, 0.00, -0.05),(0.09, -0.86, 0.50),(-56.70, -136.73, 0.00),(0.47, 0.37),1.275979,[Board]
(-0.02, 0.00, -0.06),(0.09, -0.86, 0.50),(-53.21, -138.06, 0.00),(0.47, 0.37),1.349687,[Board]
(-0.02, 0.00, -0.05),(0.09, -0.85, 0.51),(-56.16, -116.54, 0.00),(0.47, 0.39),1.41241,[Board]
(-0.03, 0.00, -0.05),(0.07, -0.86, 0.51),(-70.88, -126.80, 0.00),(0.46, 0.38),1.475595,[Board]
(-0.03, 0.00, -0.05),(0.07, -0.86, 0.51),(-74.31, -129.74, 0.00),(0.46, 0.38),1.58564,[Board]
(-0.03, 0.00, -0.05),(0.07, -0.86, 0.51),(-77.56, -115.02, 0.00),(0.46, 0.39),1.646309,[Board]
(-0.03, 0.00, -0.04),(0.07, -0.85, 0.52),(-74.14, -100.19, 0.00),(0.46, 0.41),1.736456,[Board]
(-0.03, 0.00, -0.04),(0.07, -0.85, 0.52),(-73.03, -103.88, 0.00),(0.46, 0.40),1.819359,[Board]
(-0.03, 0.00, -0.04),(0.07, -0.85, 0.52),(-72.87, -102.13, 0.00),(0.46, 0.41),1.892189,[Board]
(-0.03, 0.05, -0.07),(0.08, -0.85, 0.52),(-74.31, -109.64, 0.00),(0.46, 0.40),1.990498,[CityCard] Sofia Yellow
(-0.03, 0.00, -0.04),(0.08, -0.85, 0.52),(-65.23, -105.81, 0.00),(0.47, 0.40),2.063124,[Board]
(-0.03, 0.00, -0.04),(0.07, -0.85, 0.52),(-72.46, -109.36, 0.00),(0.46, 0.40),2.133363,[Board]
(-0.03, 0.00, -0.04),(0.06, -0.85, 0.52),(-82.68, -101.74, 0.00),(0.46, 0.41),2.25235,[Board]
